genotype,day,fly,alpha,beta,p0,log_alpha,log_beta,logit_p0
GD,14,69,0.15678675275,0.130070444,0.3961893000000001,-1.8528686596476442,-2.039679098365762,-1.9003360576390549
GD,14,70,0.1302757681125,0.280824671,0.26199370487499996,-2.0381017821190364,-1.2700247510033074,-0.9403746511975475
GD,14,71,0.170588268375,0.2916181475,0.37094203125,-1.768502413141393,-1.2323100465591375,-0.8875380555686101
GD,14,72,0.06062108912499999,0.098036543,0.7084558025000001,-2.803112441083653,-2.322414982061824,-2.219233709017855
GD,14,73,0.414512455225,0.19984619475,0.62159001375,-0.8806522560645159,-1.6102072345364755,-1.3872559213058413
GD,14,74,0.19703254787500002,0.184021296375,0.75508844625,-1.6243863462514856,-1.6927037869021655,-1.4893367640447892
GD,14,75,0.21312102349999995,0.15598711912500002,0.6614274549999999,-1.545895089182936,-1.8579818448532046,-1.6883943220508033
GD,14,76,0.19088513,0.21708940737500002,0.43738195750000003,-1.6560834454697821,-1.527445994743783,-1.2827092195686574
GD,14,77,0.20552487499999997,0.17424159074999998,0.70113082625,-1.582188206142641,-1.7473124901904016,-1.5558594591996375
GD,14,78,0.11287390126249999,0.0844590017125,0.7905984225,-2.1814840014008916,-2.4714890491945463,-2.3832489157246006
GD,14,79,0.065641884375,0.058673464749999994,0.8830801312500001,-2.723541305448357,-2.8357677029047945,-2.775302512081688
GD,14,80,0.2415901820625,0.14756446643749999,0.6428452950000001,-1.4205124509057154,-1.9134901380922031,-1.7538324449538216
GD,14,81,0.09787173425,0.5420006806250001,0.28803879712499997,-2.324097491766798,-0.6124880217775965,0.16839955917224592
GD,14,82,0.22531185050000002,0.2099421935,0.6264828649999999,-1.4902698341699918,-1.5609230552057658,-1.3252738917925084
GD,14,83,0.3108783445,0.29133467625000004,0.6320395550000001,-1.1683536185730532,-1.2332825824515594,-0.8889106787108176
GD,14,84,0.265992860125,0.5458848855,0.3448214875000001,-1.3242858121960195,-0.6053471578830929,0.18405739903022764
GD,14,85,0.265763810875,0.199710830875,0.8049079262500001,-1.3251472936842912,-1.6108848043024786,-1.3881026490830828
GD,14,86,0.08937609075000001,0.09966609350000001,0.6816268074999999,-2.4149020738466316,-2.3059297451122167,-2.200940167870451
GD,14,87,0.113174621125,0.117864636125,0.80354022125,-2.178823333357346,-2.1382184644814193,-2.012808703511357
GD,14,88,0.034147497737500004,0.029458683525,0.62060163375,-3.37706596834391,-3.524766555809684,-3.4948652508900433
GD,14,89,0.11044715825000001,0.20933971087499997,0.6382114375000001,-2.2032180782835806,-1.5637969356827504,-1.3289100620868137
GD,14,90,0.319147759375,0.09610727062512499,0.24671991875,-1.1421010879063132,-2.3422903089985803,-2.2412457211717696
GD,14,91,0.17714809162500003,0.1505354555,0.6968468875,-1.7307692203789777,-1.8935566378213207,-1.7304075621761004
GD,14,92,0.200358506,0.18005235649999998,0.6394347425,-1.6076469870986807,-1.7145076009417979,-1.5159928107892569
GD,14,93,0.113992818375,0.19803755787500002,0.6156619649999999,-2.171619829282544,-1.6192985800383877,-1.398605077558114
GD,14,94,0.19267348924750002,0.13526837719999998,0.21871144999999997,-1.6467582882856309,-2.0004944947002423,-1.8551584118496085
GD,14,95,0.21108572561499997,0.1681990090625,0.54011377125,-1.5554909454809274,-1.782607422884544,-1.598445362527532
GD,14,96,0.39501313824999995,0.33596238763249997,0.18483694962500002,-0.9288362532417581,-1.0907560668547986,-0.6813395808765976
GD,14,97,0.24577193649999998,0.23715295537499997,0.54117540625,-1.403351260459463,-1.4390499646868613,-1.1683522311330778
GD,14,98,0.49346434990000004,0.0627300696655375,0.26278251999999996,-0.706304662029029,-2.768914366312369,-2.704130407414175
GD,14,99,0.053251702375,0.12161557825000001,0.37579453375,-2.9327255054200476,-2.106890207046981,-1.977219263860934
GD,14,100,0.2446283985,0.236892424625,0.611927545,-1.408014960669502,-1.4401491454287179,-1.1697928777994342
GD,14,101,0.3120285035,0.43861058075000003,0.47853397375,-1.1646607379736904,-0.8241433193723176,-0.24680285706162236
GD,14,102,0.092526555,0.1325452245,0.6549585075000001,-2.380259594582565,-2.020831374810118,-1.8786394743016033
GD,14,103,0.09826637224999998,0.07868096225,0.763528065,-2.3200734034386037,-2.542354055617406,-2.4604051565440384
GD,14,104,0.17228212825,0.1582927855,0.69850548875,-1.7586218654362638,-1.8433088879916009,-1.6709858365339694
GD,14,105,0.162682418125,0.09429802863750002,0.5217221575,-1.8159553337494305,-2.3612949947839357,-2.262250017797866
GD,14,106,0.26121552658749997,0.1545531430375,0.47603041125000006,-1.3424094400559616,-1.8672172739074673,-1.6993273073116346
GD,14,107,0.21123438925000002,0.18870988049999998,0.7345609812500001,-1.5547869125167948,-1.667544467088114,-1.458414908830593
GD,14,108,0.21995598725,0.13871772687499997,0.65602784125,-1.514327810598583,-1.9753141525100584,-1.8259811675775186
GD,14,109,0.28733578675,0.234141149875,0.8067921874999999,-1.2471037584499212,-1.451831140885183,-1.1850737458977436
GD,14,110,0.1925520515,0.196819832375,0.66174330375,-1.6473887644024898,-1.6254665251781575,-1.406290303126698
GD,14,111,0.327601542625,0.32338896662500005,0.6637060225,-1.115957218146788,-1.128899449226935,-0.7382407335453521
GD,14,112,0.055897642750000004,0.074592521375,0.5713177500000001,-2.8842330687621014,-2.595715026462635,-2.518193905426037
GD,14,113,0.164321529,0.171164033125,0.8608738687499999,-1.8059302278305747,-1.7651329242325189,-1.5773999121400206
GD,21,0,0.23485202949999998,0.38320191012500004,0.6144209175,-1.4487996248602895,-0.9591932482292745,-0.47597969466104695
GD,21,1,0.105753162875,0.10354787812499999,0.7937841362500001,-2.246647552519563,-2.26772118265904,-2.1584107896908296
GD,21,2,0.0680025008625,0.068880936125,0.71479296125,-2.688210797092596,-2.6753758282900892,-2.6040077065659206
GD,21,3,0.07129316611249999,0.42291276999999994,0.316291146875,-2.6409548031050085,-0.8605893386957001,-0.31082749330487547
GD,21,4,0.138617805,0.171924754875,0.80579143,-1.9760347372735616,-1.7606983695443033,-1.5720471165733054
